Industry,Gender,education_level,avg_salary
"Education (Primary/Secondary)",Man,"College degree",50225.520000
"Education (Primary/Secondary)",Man,"Professional degree (MD, JD, etc.)",48000.000000
"Education (Primary/Secondary)",Woman,"Some college",46822.263158
"Education (Primary/Secondary)",Man,"Some college",38194.500000
"Education Consulting",Woman,"Professional degree (MD, JD, etc.)",118000.000000
"Education Publishing ",Woman,"College degree",52500.000000
"Education research- mix of Edtech and non profits",Woman,PhD,140000.000000
"Education services (tutoring)",Man,"Master's degree",100000.000000
"Education start-up",Woman,"College degree",93600.000000
"education writing",Woman,"College degree",48500.000000
"Education- museum/public outreach ",Woman,"Master's degree",84000.000000
"Education: preschool ",Woman,"Professional degree (MD, JD, etc.)",100000.000000
Education/vocational,Man,"College degree",100000.000000
"Educational assessment",Woman,"Master's degree",74000.000000
"Educational products",Woman,"Master's degree",42000.000000
"Educational Publishing",Man,"Some college",90000.000000
"educational publishing",Woman,"College degree",74500.000000
"Educational publishing / ed tech",Man,PhD,124000.000000
"Educational Research",Woman,"College degree",56000.000000
"Educational technology",Woman,"Master's degree",95000.000000
"Educational Technology - hybrid between book publishing and technology really",Woman,"College degree",67000.000000
"Emergency Management",Woman,"Master's degree",76000.000000
Energy,Man,PhD,265000.000000
Energy,Woman,"Master's degree",186500.000000
Energy,Man,"Professional degree (MD, JD, etc.)",185000.000000
Energy,Woman,"Professional degree (MD, JD, etc.)",148000.000000
Energy,Man,"Master's degree",132999.000000
Energy,Man,"Some college",107000.000000
Energy,Woman,"College degree",94500.000000
Energy,Man,Unknown,88000.000000
Energy,Unknown,Unknown,70720.000000
"Energy - Oil and Gas",Woman,"Master's degree",150000.000000
"Energy (oil & gas & associated products, renewable power, etc)",Woman,"Master's degree",253300.000000
"Energy (Oil & Gas)",Man,"Some college",120000.000000
"Energy / renewables",Woman,"Master's degree",1115000.000000
"Energy Sector: Oil & Gas",Man,"High School",47000.000000
"Energy Supplier",Woman,"Master's degree",73000.000000
"Energy, Oil & Gas",Woman,"Master's degree",130000.000000
"Energy, Oil and Gas",Woman,"College degree",125000.000000
"Energy: oil & gas",Man,PhD,75000.000000
Energy/oil,Woman,"Some college",62000.000000
"Engineering - Mining",Man,"College degree",127000.000000
"Engineering and Environmental Consulting",Woman,"Master's degree",75000.000000
"Engineering or Manufacturing",Man,"Master's degree",162954.634483
"Engineering or Manufacturing",Unknown,PhD,160000.000000
"Engineering or Manufacturing","Other or prefer not to answer",PhD,136000.000000
"Engineering or Manufacturing",Man,PhD,130100.000000
"Engineering or Manufacturing",Woman,PhD,124693.000000
"Engineering or Manufacturing",Woman,"Professional degree (MD, JD, etc.)",115000.000000
"Engineering or Manufacturing",Woman,"Master's degree",105322.268698
"Engineering or Manufacturing",Unknown,"College degree",104485.714286
"Engineering or Manufacturing",Man,"College degree",98406.575000
"Engineering or Manufacturing",Unknown,"Master's degree",95733.333333
"Engineering or Manufacturing",Man,"Professional degree (MD, JD, etc.)",90974.666667
"Engineering or Manufacturing",Woman,"College degree",90525.992126
"Engineering or Manufacturing","Other or prefer not to answer","College degree",89129.846154
"Engineering or Manufacturing",Man,"Some college",87261.842105
"Engineering or Manufacturing",Man,"High School",83250.222222
"Engineering or Manufacturing",Non-binary,"College degree",83035.666667
"Engineering or Manufacturing","Other or prefer not to answer","Master's degree",80066.666667
"Engineering or Manufacturing",Non-binary,"Master's degree",78466.666667
"Engineering or Manufacturing",Man,Unknown,75333.333333
"Engineering or Manufacturing",Unknown,Unknown,75000.000000
"Engineering or Manufacturing",Woman,"Some college",63893.217391
"Engineering or Manufacturing",Non-binary,PhD,62500.000000
"Engineering or Manufacturing",Woman,"High School",55888.416667
"Engineering or Manufacturing","Other or prefer not to answer","High School",44184.000000
"Engineering or Manufacturing",Non-binary,"Some college",36594.000000
"Engineering or Manufacturing",Woman,Unknown,33720.000000
Entertainment,Man,"College degree",810641.944444
Entertainment,Non-binary,"College degree",603428.571429
Entertainment,"Other or prefer not to answer","Professional degree (MD, JD, etc.)",175000.000000
Entertainment,Man,"High School",162480.000000
Entertainment,Woman,"Some college",135675.000000
Entertainment,Man,"Master's degree",134783.333333
Entertainment,Woman,"Professional degree (MD, JD, etc.)",119500.000000
Entertainment,Woman,"College degree",98204.345455
Entertainment,Woman,PhD,94333.333333
Entertainment,"Other or prefer not to answer","College degree",88361.428571
Entertainment,Woman,Unknown,88333.333333
Entertainment,Woman,"Master's degree",75698.147059
Entertainment,Man,"Some college",66190.000000
Entertainment,Woman,"High School",63500.000000
Entertainment,Non-binary,"Master's degree",38400.000000
Entertainment,Non-binary,"High School",23100.000000
Entertainment,Non-binary,"Some college",21000.000000
"Entertainment data",Non-binary,"College degree",52000.000000
"Entrepreneur high net worth ",Woman,"High School",46000.000000
"Env. Consulting",Man,"College degree",60000.000000
"Enviromental ",Man,"College degree",72000.000000
Environment,Woman,"College degree",730000.000000
Environment,Man,"College degree",46000.000000
Environment,Woman,PhD,45000.000000
"Environment - Oil and Gas",Woman,"College degree",124800.000000
"Environment and sustainability",Woman,"Master's degree",27000.000000
"Environment, health, and safety",Woman,"College degree",70000.000000
environmental,Woman,"Master's degree",87880.000000
Environmental,Man,"College degree",76350.000000
Environmental,Woman,"College degree",47870.000000
Environmental,Woman,"High School",47840.000000
Environmental,Man,"Master's degree",43500.000000
"Environmental ",Man,"Master's degree",92000.000000
"Environmental ",Man,"College degree",74750.000000
"Environmental ",Woman,"Master's degree",68000.000000
"Environmental ",Woman,"College degree",40000.000000
"Environmental compliance",Woman,"Master's degree",81000.000000
"environmental compliance ",Woman,"College degree",40000.000000
"Environmental Consultanting",Woman,"College degree",40200.000000
"Environmental Consulting",Man,"Master's degree",132000.000000
"Environmental Consulting",Woman,PhD,89000.000000
"Environmental Consulting","Other or prefer not to answer","Master's degree",89000.000000
"Environmental Consulting",Woman,"College degree",71080.000000
"Environmental Consulting",Woman,"Master's degree",58575.000000
"Environmental Consulting",Man,"College degree",38000.000000
"Environmental Consulting ",Woman,"College degree",68000.000000
"Environmental Health + Pest Control",Woman,"College degree",57900.000000
"environmental health and safety",Woman,"Master's degree",52000.000000
"Environmental health and safety",Man,"College degree",46000.000000
"Environmental health and safety compliance",Woman,"Some college",48000.000000
"Environmental Planning",Woman,"College degree",77500.000000
"Environmental regulation",Woman,"Master's degree",58.000000
"Environmental Restoration",Woman,"College degree",61050.000000
"Environmental Science",Woman,"Master's degree",84000.000000
"Environmental Science",Woman,"College degree",65000.000000
"Environmental science ",Man,"College degree",70000.000000
"Environmental Sciences",Woman,"College degree",68000.000000
"Environmental sciences",Woman,"Some college",42000.000000
"Environmental Services",Woman,"Master's degree",62500.000000
"Environmental/Cultural Resource Management",Woman,"Master's degree",48500.000000
"Environmnetal ",Woman,"College degree",43000.000000
"ESL Teacher",Man,"College degree",36000000.000000
"Executive Leadership Servis",Woman,"College degree",88000.000000
"Executive Search",Woman,"College degree",90000.000000
facilities,Woman,"College degree",39000.000000
"Facilities ",Woman,"Master's degree",65000.000000
Faith/spirituality,Woman,"Master's degree",72000.000000
"Family Office",Woman,"College degree",125000.000000
"Family office ",Woman,"College degree",120000.000000
Fashion,Woman,"College degree",90000.000000
"Fashion/e-commerce ",Woman,"College degree",58500.000000
"Fast casual restaurant ",Non-binary,"College degree",38188.000000
"Fast food","Other or prefer not to answer","High School",31200.000000
"Fast Food",Woman,"College degree",29120.000000
"Federal Contracting/Business Development",Man,"College degree",70000.000000
"Film Post-Production",Man,"College degree",95000.000000
Finance,Man,"Master's degree",200000.000000
finance,Woman,"Master's degree",130000.000000
Finance,Woman,"Professional degree (MD, JD, etc.)",129000.000000
Finance,Woman,"College degree",96500.000000
"Finance ",Woman,"College degree",109000.000000
"Finance/Investment Management but in legal/compliance, so back-office",Woman,"College degree",125000.000000
Fintech,Woman,"Master's degree",110000.000000
Fintech,Woman,"College degree",103750.000000
"FinTech/Payment Processing",Woman,"College degree",58500.000000
"Fire protection",Woman,"College degree",70000.000000
Fitness,Woman,"College degree",48916.666667
"Fitness & Entertainment",Woman,PhD,75000.000000
FMCG,Woman,"Master's degree",75000.000000
"FMCG development ",Man,"Master's degree",32524.000000
Food,Woman,"Some college",130000.000000
Food,Woman,"Master's degree",47000.000000
Food,Man,"Some college",37440.000000
Food,Woman,"College degree",33000.000000
"Food & Beverage",Woman,"Master's degree",450000.000000
"Food & Beverage",Man,"Master's degree",113500.000000
"Food & Beverage",Woman,"College degree",67000.000000
"Food & Beverage production",Man,"Some college",90000.000000
"Food & Beverages",Woman,"Master's degree",55000.000000
"Food & Nutrition","Other or prefer not to answer","College degree",105000.000000
"Food and Beverage",Man,"Master's degree",20000.000000
"Food and Beverage ",Woman,"Master's degree",100000.000000
"Food and Drink ",Woman,"College degree",20287.000000
"Food and Flavor",Woman,"Master's degree",104000.000000
"Food demos",Woman,"College degree",27000.000000
"Food distribution",Woman,"College degree",50960.000000
"Food Distribution",Woman,"Master's degree",45000.000000
"Food Industry",Woman,PhD,85000.000000
"Food Industry",Man,"College degree",68000.000000
"Food industry ",Woman,"College degree",60000.000000
"Food Manufacture",Man,PhD,63000.000000
"Food manufacturers ",Woman,"College degree",22000.000000
"Food Manufacturing",Woman,"College degree",72500.000000
"Food manufacturing",Woman,"Master's degree",58240.000000
"Food manufacturing",Woman,"Some college",47000.000000
"Food manufacturing ",Woman,"College degree",65000.000000
"Food Processing",Woman,"Some college",80000.000000
"Food processing",Woman,"College degree",62000.000000
"Food processing and packaging",Woman,"College degree",84000.000000
"Food production",Woman,"College degree",62840.000000
"Food Production/Processing",Woman,"Some college",29000.000000
"Food Service",Woman,"College degree",29373.333333
"Food service",Non-binary,"College degree",22880.000000
"Food Service",Unknown,"Some college",21000.000000
"Food Service",Non-binary,"Some college",20800.000000
"Food service ",Man,"Some college",47000.000000
"Food Service ",Woman,"College degree",29000.000000
"Food Service --- Baking",Woman,"Some college",35350.000000
"Food/Beverage Manufacturing- Quality/Laboratory",Woman,"College degree",52500.000000
"Food/Quick Service Restaurant (QSR)",Man,"College degree",110000.000000
Foodservice,Woman,"College degree",115000.000000
"For profit education",Woman,"College degree",66000.000000
Forensics,Woman,"College degree",65000.000000
"Forklift operator warehouse",Man,"High School",40560.000000
"Freelance Journalism",Man,"College degree",12000.000000
"Funding Intermediary ",Woman,"High School",115000.000000
Fundraising,Woman,"Master's degree",125000.000000
Fundraising,Woman,"College degree",53000.000000
"Fundraising ",Woman,"College degree",82000.000000
"Fundraising for a university ",Woman,"Master's degree",100440.000000
"Fundraising in Higher Education; nonclinical, nonacademic","Other or prefer not to answer","Some college",44000.000000
Funeral,Woman,"Some college",56500.000000
"Funeral Service ",Woman,"College degree",36000.000000
"Funeral Service ",Woman,"Some college",33280.000000
"funeral services",Woman,"Master's degree",58642.000000
Gambling,Woman,"College degree",66820.000000
"Game development",Woman,"Master's degree",110000.000000
"Game Development",Woman,"College degree",83000.000000
"Games development",Woman,"Master's degree",48000.000000
Gaming,Non-binary,"College degree",140000.000000
Gaming,Woman,"College degree",68500.000000
"Gaming (Gambling)",Man,"Master's degree",72000.000000
"Gas & Oil",Woman,"College degree",75000.000000
Geologist,Woman,PhD,260000.000000
Geospatial,Man,"Master's degree",88007.000000
"Global Health Consulting",Woman,"Master's degree",140000.000000
"Global Mobility",Woman,"College degree",57500.000000
"Government ",Woman,"Master's degree",70000.000000
"Government Affairs/Lobbying",Woman,"Professional degree (MD, JD, etc.)",250000.000000
"Government Affairs/Lobbying",Woman,"Master's degree",130000.000000
"Government and Public Administration",Man,"High School",125911.111111
"Government and Public Administration",Unknown,PhD,123859.500000
"Government and Public Administration",Man,PhD,114567.625000
"Government and Public Administration",Woman,PhD,112138.670886
"Government and Public Administration",Woman,"Professional degree (MD, JD, etc.)",105733.658228
"Government and Public Administration",Man,"Professional degree (MD, JD, etc.)",103478.533333
"Government and Public Administration",Unknown,"Master's degree",97875.000000
"Government and Public Administration",Man,"Master's degree",92576.055556
"Government and Public Administration",Non-binary,PhD,92200.000000
"Government and Public Administration",Woman,"Master's degree",86706.017639
"Government and Public Administration","Other or prefer not to answer","Master's degree",81150.285714
"Government and Public Administration",Non-binary,"Professional degree (MD, JD, etc.)",78175.000000
"Government and Public Administration",Woman,"College degree",76301.193246
"Government and Public Administration",Man,"College degree",75967.279070
"Government and Public Administration","Other or prefer not to answer","College degree",71208.916667
"Government and Public Administration",Woman,Unknown,62408.428571
"Government and Public Administration",Non-binary,"Master's degree",61642.857143
"Government and Public Administration",Woman,"High School",61446.458333
"Government and Public Administration",Woman,"Some college",60442.012987
"Government and Public Administration",Man,"Some college",58543.600000
"Government and Public Administration","Other or prefer not to answer","Some college",58250.000000
"Government and Public Administration",Non-binary,"College degree",48907.235294
"Government and Public Administration",Non-binary,"Some college",42041.875000
"Government and Public Administration",Man,Unknown,35000.000000
"Government and Public Administration",Non-binary,"High School",33000.000000
"Government contract ",Woman,"College degree",42300.000000
"Government Contracting",Woman,"Some college",130800.000000
"Government Contracting",Woman,"Master's degree",111000.000000
"Government contracting",Woman,"College degree",95500.000000
"Government contracting (data analytics and program evaluations)",Woman,"Master's degree",86000.000000
"Government Contracting R&D",Woman,"College degree",100000.000000
"Government contractor",Woman,"Master's degree",84000.000000
"Government contractor",Woman,"College degree",83221.000000
"Government contractor ",Woman,"Some college",70000.000000
"Government Contractor (R&D)",Woman,"College degree",55000.000000
"Government Relation",Woman,"Master's degree",130000.000000
"Government Relations",Woman,"College degree",121250.000000
"Government relations ",Woman,"Master's degree",68000.000000
"Government Research",Woman,"Master's degree",75400.000000
"Government- Scientist",Woman,"Master's degree",100000.000000
"Govt contractor - not direct govt but they pay my company who in turn pays me",Woman,"College degree",100000.000000
"Govt contractor - not directly govt but they pay me",Woman,"College degree",100000.000000
"Govtech Software as a Service",Woman,"College degree",60171.000000
"Graduate Student",Man,"Master's degree",2350.000000
"Grantwriting Consultants",Woman,"Master's degree",94000.000000
"Grocery delivery",Woman,"College degree",50000.000000
"Grocery Distribution",Woman,"High School",52600.000000
"Grocery Distribution",Non-binary,"College degree",52532.000000
Gyms,Woman,"Master's degree",60000.000000
"Hardware Manufacturing",Woman,"College degree",95000.000000
"Haz/Ind/Rad Waste Management ",Woman,"College degree",100000.000000
"Health and fitness",Woman,"College degree",43680.000000
"Health and Safety",Man,"Master's degree",153000.000000
"Health care",Unknown,Unknown,256000.000000
"Health care",Non-binary,PhD,220000.000000
"Health care","Other or prefer not to answer","Master's degree",208540.000000
"Health care",Man,"Professional degree (MD, JD, etc.)",184465.880000
"Health care",Man,PhD,169500.000000
"Health care",Unknown,"Master's degree",162500.000000
"Health care",Woman,"Professional degree (MD, JD, etc.)",156863.506250
"Health care",Unknown,"Professional degree (MD, JD, etc.)",134966.666667
"Health care",Non-binary,"Professional degree (MD, JD, etc.)",131350.000000
"Health care",Woman,Unknown,128049.285714
"Health care",Woman,PhD,123550.256410
"Health care","Other or prefer not to answer","Professional degree (MD, JD, etc.)",111500.000000
"Health care",Woman,"College degree",110166.893175
"Health care",Unknown,PhD,102000.000000
"Health care",Woman,"Master's degree",98223.042885
"Health care",Man,Unknown,96428.000000
"Health care",Man,"Master's degree",89821.927273
"Health care",Man,"Some college",85288.923077
"Health care",Non-binary,"Master's degree",84170.909091
"Health care",Man,"College degree",82298.898551
"Health care","Other or prefer not to answer","College degree",80138.000000
"Health care",Non-binary,"College degree",74347.047619
"Health care",Man,"High School",70833.333333
"Health care",Unknown,"College degree",59850.000000
"Health care",Woman,"High School",59601.100000
"Health care",Unknown,"Some college",58000.000000
"Health care",Non-binary,"Some college",55000.000000
"Health care",Woman,"Some college",54337.200000
"Health care","Other or prefer not to answer","Some college",48851.000000
"Health care",Unknown,"High School",38000.000000
"Health care",Non-binary,"High School",8000.000000
"Health Insurance ",Woman,"College degree",72000.000000
"Health Research",Woman,"Master's degree",61000.000000
"Healthcare Information Technology",Woman,"College degree",63000.000000
"Healthcare IT",Woman,"College degree",135000.000000
"Healthcare IT",Woman,"Master's degree",106080.000000
"Healthcare technology ",Woman,"Master's degree",83900.000000
Heritage,Woman,"Master's degree",21179.000000
"Heritage ",Woman,"Master's degree",49000.000000
"Heritage/Public History",Woman,"Master's degree",37500.000000
"High end outdoor furniture manufacturer ",Woman,"College degree",53000.000000
"Higher education fundraising",Woman,"Master's degree",59000.000000
"Higher education/Libraries",Woman,"Master's degree",62000.000000
"Historic Preservation",Woman,"Master's degree",75000.000000
Homemaker,Woman,"College degree",0.000000
Horticulture,Woman,"College degree",37440.000000
"Horticulture (Admin)",Woman,"High School",50600.000000
Hospital,Woman,"Master's degree",77500.000000
"Hospitality & Events",Woman,PhD,115000.000000
"Hospitality & Events",Man,"Master's degree",103750.000000
"Hospitality & Events",Woman,"Master's degree",94669.107143
"Hospitality & Events",Unknown,"College degree",75000.000000
"Hospitality & Events",Man,"Some college",67580.000000
"Hospitality & Events",Woman,"College degree",66847.144000
"Hospitality & Events",Woman,"Professional degree (MD, JD, etc.)",56250.000000
"Hospitality & Events",Man,"College degree",54633.900000
"Hospitality & Events",Man,"High School",53166.666667
"Hospitality & Events",Woman,"Some college",47698.472222
"Hospitality & Events",Non-binary,"Some college",40233.333333
"Hospitality & Events",Woman,"High School",38096.000000
"Hospitality & Events",Non-binary,"College degree",26877.500000
"Hospitality & Events",Non-binary,"High School",25600.000000
"Hospitality & Events","Other or prefer not to answer","Some college",22775.000000
"Household Services",Non-binary,"Master's degree",62400.000000
HRO,Woman,"College degree",64000.000000
"Human Capital Management",Woman,"College degree",108000.000000
"Human Resources",Woman,"Some college",57383.000000
"Human Resources ",Woman,Unknown,40000.000000
"Human Resources ",Woman,"College degree",40.000000
"Human services",Woman,"College degree",33280.000000
"I have two jobs. Marketing / Business ",Woman,"College degree",135000.000000
"I work at a property tax management company. Not sure where this fits in. Consulting maybe?",Woman,"College degree",37500.000000
"I work for Indeed.com",Woman,"College degree",68000.000000
"I work in the finance function of a large global conglomerate",Woman,"Master's degree",90000.000000
"I'm currently a student and don't have a job",Man,"Some college",0.000000
Immigration,Woman,"College degree",43000.000000
"In-House Marketing",Woman,"College degree",72000.000000
"individual & family services",Woman,"Master's degree",80000.000000
"Industrial Cleaning & Non Hazardous Transport",Woman,"Some college",55000.000000
"Industrial Hygiene",Woman,"Master's degree",90000.000000
"Industrial Supply",Man,"Some college",67000.000000
"Information ",Woman,"College degree",135000.000000
"Information Management/Archives",Woman,"Master's degree",55000.000000
"Information sciences",Woman,"Master's degree",77200.000000
"Information services",Woman,"College degree",21500.000000
"Information services (libraries)",Woman,"Master's degree",67231.000000
"Information services (library)",Woman,"College degree",35172.000000
"Information Services/Libraries",Woman,"Master's degree",53000.000000
"Information Technology",Woman,"Master's degree",99952.000000
"Information Technology ",Man,"College degree",70000.000000
"Information technology (IT)",Woman,"College degree",102000.000000
"Instructional Design and Training",Woman,"College degree",104000.000000
"Instructional Design, Aviation Industry",Woman,"Master's degree",52000.000000
"Instructional Designer",Woman,"College degree",80000.000000
Insurance,Man,"Professional degree (MD, JD, etc.)",2000000.000000
Insurance,Man,"Master's degree",143801.916667
Insurance,"Other or prefer not to answer","College degree",129166.666667
Insurance,Unknown,"College degree",120000.000000
Insurance,Woman,"Professional degree (MD, JD, etc.)",104683.125000
Insurance,Man,PhD,104571.428571
Insurance,Non-binary,"College degree",102562.833333
Insurance,Man,"College degree",101033.279070
Insurance,Man,"High School",93243.750000
Insurance,Woman,"Master's degree",92067.065934
Insurance,Woman,PhD,88425.000000
Insurance,Woman,Unknown,87500.000000
Insurance,Man,"Some college",83500.000000
Insurance,Woman,"College degree",80168.637168
Insurance,Unknown,"Professional degree (MD, JD, etc.)",80000.000000
Insurance,Woman,"Some college",67397.857143
Insurance,Woman,"High School",57436.117647
Insurance,Non-binary,"Master's degree",48630.000000
Insurance,Unknown,Unknown,41500.000000
Insurance,Non-binary,"Some college",40088.500000
Insurance,"Other or prefer not to answer","Some college",34000.000000
Intelligence,Woman,"College degree",110000.000000
"Intergovernmental organization",Woman,"Master's degree",60000.000000
"Interior Design (commercial)",Non-binary,"College degree",40000.000000
"Interior Design & Architecture",Woman,"Some college",59000.000000
"Interior landscaping ",Non-binary,"Some college",33000.000000
"Internal Communications",Woman,"College degree",100800.000000
"International defence",Woman,"Master's degree",75000.000000
"International development",Woman,"Master's degree",128950.000000
"International development",Woman,"Professional degree (MD, JD, etc.)",85000.000000
"International Development",Woman,"College degree",71675.000000
"International Development",Man,"College degree",55000.000000
"International development ",Woman,Unknown,845000.000000
"International development (multilateral donor)",Woman,"Master's degree",111360.000000
"International organisations",Woman,PhD,170000.000000
Internet,Woman,"Master's degree",117500.000000
Interpretation,Woman,"Master's degree",905000.000000
Investing,Woman,"Some college",58000.000000
Ipr,Woman,PhD,1000000.000000
IT,Woman,"Master's degree",123600.000000
IT,Woman,"College degree",68175.000000
"IT MSP",Woman,"Some college",60000.000000
"IT Security",Woman,"College degree",43680.000000
"It security ",Man,"Some college",116000.000000
Janitorial,Non-binary,"High School",29120.000000
Journalism,Man,"College degree",47500.000000
Journalism,Woman,"College degree",35600.000000
Journalism,Woman,"Master's degree",30000.000000
"Lab Science (Biotech)",Man,"Master's degree",83200.000000
Labor,Woman,"College degree",66617.000000
"Labor Union",Woman,"College degree",129000.000000
"Labor Union",Woman,"Some college",98000.000000
"Laboratory research",Woman,"College degree",48000.000000
"labour/professional organization",Woman,"Master's degree",62000.000000
"Landed Estate",Woman,"Master's degree",39000.000000
"Landscape Architecture",Woman,"Master's degree",82000.000000
"Landscape Contracting",Woman,"College degree",47840.000000
Landscaping,Woman,"College degree",48000.000000
"Landscaping/Tree Work",Woman,"Some college",58240.000000
"Language Services",Woman,"College degree",87000.000000
"Large University Administration",Woman,"Master's degree",92000.000000
"Laundry and Rental",Woman,"College degree",62000.000000
Law,Man,"Professional degree (MD, JD, etc.)",181217.604651
Law,Woman,Unknown,168000.000000
Law,"Other or prefer not to answer",PhD,161000.000000
Law,Woman,PhD,148788.941176
Law,Woman,"Professional degree (MD, JD, etc.)",143817.579848
Law,"Other or prefer not to answer","Professional degree (MD, JD, etc.)",138500.000000
Law,Unknown,"Professional degree (MD, JD, etc.)",128357.142857
Law,Man,Unknown,117333.333333
Law,Unknown,"Master's degree",103000.000000
Law,Unknown,Unknown,94000.000000
Law,Woman,"Master's degree",90382.505051
Law,Man,PhD,90000.000000
Law,Man,"Master's degree",82262.500000
Law,Non-binary,"Professional degree (MD, JD, etc.)",79617.500000
Law,Non-binary,"Master's degree",78066.666667
Law,Man,"College degree",76408.571429
Law,"Other or prefer not to answer","College degree",71733.333333
Law,Man,"High School",65000.000000
Law,Man,"Some college",64866.666667
Law,Woman,"College degree",64324.925110
Law,Woman,"Some college",63031.133333
Law,Non-binary,"Some college",56640.000000
Law,Woman,"High School",53898.750000
Law,"Other or prefer not to answer","Master's degree",49550.000000
Law,Non-binary,"College degree",48720.000000
"Law Enforcement & Security",Man,PhD,100000.000000
"Law Enforcement & Security",Woman,"Some college",86166.666667
"Law Enforcement & Security",Woman,"Professional degree (MD, JD, etc.)",84200.000000
"Law Enforcement & Security",Man,"Master's degree",74000.000000
"Law Enforcement & Security",Man,"College degree",68500.000000
"Law Enforcement & Security",Woman,"College degree",57351.086957
"Law Enforcement & Security",Woman,"Master's degree",52333.333333
"Law Enforcement & Security",Man,"High School",50000.000000
"Law Enforcement & Security",Non-binary,"College degree",38000.000000
"Law Enforcement & Security",Man,"Some college",35205.000000
"Law Enforcement & Security",Non-binary,"Some college",26325.000000
"Law Library",Woman,"College degree",41000.000000
"Learning & Development",Woman,PhD,68000.000000
"Learning and Development",Man,"College degree",62000.000000
"Legal Services",Woman,"Master's degree",98500.000000
"Legal services",Woman,"Some college",18500.000000
"Leisure, Sport & Tourism",Woman,"Professional degree (MD, JD, etc.)",215000.000000
"Leisure, Sport & Tourism",Woman,"Master's degree",89043.800000
"Leisure, Sport & Tourism",Man,"College degree",80201.333333
"Leisure, Sport & Tourism",Woman,"College degree",62125.035714
"Leisure, Sport & Tourism",Man,"Master's degree",58000.000000
"Leisure, Sport & Tourism",Woman,PhD,42000.000000
"Leisure, Sport & Tourism",Woman,"Some college",41812.333333
"Leisure, Sport & Tourism",Woman,Unknown,34320.000000
"Leisure, Sport & Tourism",Man,"Some college",32513.333333
"Leisure, Sport & Tourism",Woman,"High School",31200.000000
"Leisure, Sport & Tourism",Non-binary,"College degree",27500.000000
Librarian,Woman,"Master's degree",53701.500000
Librarian,Non-binary,"Master's degree",45700.000000
"Librarian ",Woman,"Master's degree",56591.000000
"Librarian and Assistant Manager of a library",Woman,"Master's degree",81000.000000
"Librarian in legal setting",Woman,"Master's degree",78000.000000
"librarian--Contractor for NASA",Woman,"Master's degree",63000.000000
Libraries,Woman,"Master's degree",64356.076923
Libraries,Non-binary,"Master's degree",57862.250000
Libraries,Man,"Master's degree",57637.000000
Libraries,Woman,"College degree",46867.000000
Libraries,"Other or prefer not to answer","Master's degree",46150.000000
Libraries,Non-binary,"Some college",18720.000000
"Libraries ",Unknown,"Master's degree",53000.000000
"Libraries ",Woman,"Master's degree",49000.000000
"Libraries (Medical)",Woman,"Master's degree",92000.000000
"Libraries (Public)",Non-binary,"Master's degree",46000.000000
"Libraries (public)",Woman,"Master's degree",42000.000000
"Libraries / Archives / Information",Woman,"Master's degree",51000.000000
"Libraries & Archives",Woman,"Master's degree",51500.000000
"Libraries and Archives",Woman,"Master's degree",65566.666667
"Libraries and Archives (Academic)",Woman,"Master's degree",53000.000000
Libraries/Archives,Non-binary,"Master's degree",41120.000000
Libraries/Museums/Archives,Woman,"Master's degree",40830.000000
Library,Woman,PhD,66500.000000
library,Non-binary,"Master's degree",63993.333333
Library,Woman,"Master's degree",62211.735294
Library,Man,"Master's degree",50596.000000
Library,Woman,"College degree",45108.444444
library,Woman,"Some college",40769.000000
library,Woman,Unknown,40000.000000
Library,Non-binary,"College degree",37000.000000
"Library ",Woman,"College degree",91000.000000
"Library ",Woman,"Master's degree",50454.000000
"Library ","Other or prefer not to answer","College degree",30000.000000
"Library ",Woman,"High School",20200.000000
"Library (university)",Woman,"Master's degree",45726.000000
"Library and Information Science",Woman,"Master's degree",46183.000000
"Library at a University ",Woman,"Master's degree",49000.000000
"Library Page (Public county library)",Woman,"College degree",38480.000000
"Library science / part-time work/study",Non-binary,"Some college",24252.000000
"Library Tech for a school system",Woman,"Some college",50000.000000
Library/Archive,Man,"College degree",40000.000000
"Library/Archive/Research Center",Woman,"Master's degree",85000.000000
Library/archives,Woman,"Master's degree",46700.000000
"Library/Information managment",Woman,"College degree",23665.000000
"Life science capability development",Woman,"Master's degree",50000.000000
"Life Sciences",Woman,"Master's degree",134400.000000
"Life Sciences",Man,PhD,95000.000000
"Life Sciences",Woman,"College degree",62000.000000
"Life Sciences ",Woman,PhD,74446.000000
"Life Sciences ",Man,PhD,69000.000000
"Life sciences (not in academia)",Woman,PhD,111000.000000
Literature,Woman,PhD,54000.000000
Lobbying,Man,"Master's degree",80000.000000
"Lobbying and consulting",Woman,"College degree",75000.000000
Logistics,Woman,"College degree",72775.000000
"Low-Voltage Equipment",Man,"College degree",45000.000000
"Luxury Fashion",Woman,"Master's degree",68000.000000
Maintenance,Man,"College degree",87000.000000
"Management Consulting",Woman,Unknown,180000.000000
"Management Consulting",Woman,"College degree",180000.000000
manufacturing,Woman,"Master's degree",87816.666667
Manufacturing,Man,"College degree",85000.000000
Manufacturing,Man,"Master's degree",77000.000000
Manufacturing,Woman,"College degree",75028.285714
manufacturing,Woman,"Some college",71666.666667
Manufacturing,Unknown,"College degree",60800.000000
Manufacturing,Woman,"High School",51166.666667
manufacturing,Man,"Some college",40476.000000
"Manufacturing ",Woman,"Master's degree",103750.000000
"Manufacturing ",Woman,"College degree",91333.333333
